id,label,group,examples,watch_for
dairy,Dairy,Common trigger,"Milk, cheese, yogurt, ice cream, butter","Lactose is the most common single trigger for gas, bloating and loose stool. Cow's milk protein can also reach a breastfed baby."
gluten,Wheat & gluten,Common trigger,"Bread, pasta, cereal, crackers, beer","Bloating and cramping a few hours later; a long-running pattern is worth a doctor's visit rather than a guess."
caffeine,Caffeine,Common trigger,"Coffee, espresso, tea, cola, energy drinks","Speeds the gut up — looser, more urgent stool. Passes into breast milk and can keep a baby wakeful."
alcohol,Alcohol,Common trigger,"Beer, wine, spirits","Reflux and poor sleep. If breastfeeding, follow your provider's timing guidance."
carbonation,Carbonated drinks,Common trigger,"Sparkling water, soda, beer","Swallowed gas comes back out as burping and bloating, usually within the hour."
spicy,Spicy food,Common trigger,"Chili, hot sauce, curry, pepper","Reflux and heartburn the same evening; looser stool the next morning."
fried,Fried & fatty food,Common trigger,"Fried chicken, chips, pizza, creamy sauces","Fat slows the stomach down — fullness, reflux, and a delayed, heavier bowel movement."
legumes,Beans & legumes,Gas-forming,"Beans, lentils, chickpeas, peas, soy","Classic gas at 4–8 hours. Worth logging the portion, since small amounts are often fine."
cruciferous,Cruciferous vegetables,Gas-forming,"Broccoli, cauliflower, cabbage, Brussels sprouts, kale","Gas and bloating, often overnight."
onion-garlic,Onion & garlic,Gas-forming,"Onion, garlic, leek, shallot","High-FODMAP; bloating and cramping for some people and nothing at all for others."
sweeteners,Artificial sweeteners,Gas-forming,"Sugar-free gum, diet drinks, protein bars, sorbitol, xylitol","Sugar alcohols draw water into the gut — urgent, loose stool at fairly small doses."
citrus,Citrus & acidic food,Reflux,"Orange, lemon, tomato, vinegar","Heartburn and reflux, usually within an hour or two."
chocolate,Chocolate,Reflux,"Chocolate bars, cocoa, hot chocolate","Relaxes the valve at the top of the stomach — reflux, especially lying down."
high-fiber,High-fiber food,Regularity,"Whole grains, bran, berries, prunes, salad","Usually helps regularity; a sudden increase causes gas and cramping for a few days."
red-meat,Red meat,Regularity,"Beef, pork, lamb","Slower to move through; can firm stool up or delay it a day."
processed,Processed & cured food,Regularity,"Deli meat, bacon, sausage, instant noodles","Salt and fat together; bloating and firmer stool."
nuts,Nuts & seeds,Allergen,"Peanut, almond, cashew, sesame","Common allergen. Anything beyond digestive upset — swelling, hives, breathing trouble — is an emergency, not a log entry."
eggs,Eggs,Allergen,"Scrambled, boiled, baked into food","Common allergen; can also reach a breastfed baby."
seafood,Fish & shellfish,Allergen,"Shrimp, crab, salmon, tuna","Common allergen. Note the kind eaten — shellfish and fin fish are different triggers."
water,Water,Hydration,"Water, sparkling water, herbal tea","The one input worth logging for its absence. Low intake shows up as dark urine and hard stool."
