from_days,to_days,label,summary,development,feeding,sleep,heads_up
0,0,Day 1,The first day is mostly recovery and skin-to-skin.,"{name} sees best about 8–12 inches away — face distance — and already knows your voice.",Colostrum only and in teaspoons. Three or more feeds today is typical; many newborns are sleepy after birth.,Long stretches of sleep are normal today. Wake {them} to feed at least every three hours.,"Expect at least one wet diaper and one black, tarry meconium stool."
1,1,Day 2,Waking up — and often much hungrier.,"Reflexes are on show: rooting, sucking, grasping and the startle reflex.",Cluster feeding often starts tonight. Aim for 8–12 feeds in 24 hours.,The second night is famously unsettled. Skin-to-skin and frequent feeds are the answer.,Two wet diapers and at least one meconium stool today.
2,2,Day 3,Milk usually comes in around now.,{name} turns toward familiar voices and calms to being held.,Milk transitions from colostrum and breasts may feel full and firm. Keep feeding 8–12 times.,"Still no rhythm — sleep follows feeds, day and night alike.",Stools turn green-brown as they transition. Weight loss of up to about 7–10% is expected by now.
3,3,Day 4,Output climbs as feeding settles.,Hands stay fisted near the face and the head still needs full support.,Swallowing should be audible during a feed. Output climbs with intake.,Days and nights are still swapped for most babies.,Four wet diapers and three stools. Jaundice often peaks on days 3–5 and your team will check for it.
4,4,Day 5,"Yellow, seedy stools mean feeding is working.",Eyes track a slowly moving face for a moment or two.,Feeds may shorten as {name} gets more efficient. Still 8–12 in 24 hours.,"Short stretches, around the clock.",Five wet diapers and three yellow stools. The cord stump is drying out.
5,6,Days 6–7,The first week closes and weight should start climbing back.,{name} calms to your smell and voice more reliably than to anything else.,Six or more wet and three or more stools a day is the reassuring pattern from here.,14–17 hours a day in total in stretches of two to four hours.,The first weight check is usually days 3–5 with a follow-up around day 10–14.
7,13,Week 2,"Back to birth weight, and a first growth spurt.",Brief eye contact and slightly longer alert windows appear.,A growth spurt around days 7–10 means more frequent feeds for a day or two.,Still two to four hour stretches. A day-night difference has not arrived yet.,Most babies are back to birth weight by day 10–14. The cord stump usually comes away this week.
14,20,Week 3,Fussier evenings are normal and they peak around week six.,{name} holds {their} head up briefly during tummy time.,Feeds settle into a rhythm and another spurt often lands around now.,One slightly longer night stretch may start to appear.,"Evening fussing often starts this week. Hold, walk, and share the load with someone."
21,27,Week 4,"One month in — more awake, more responsive.",Follows a face across the midline and quiets to a familiar voice.,8–12 feeds a day or a bottle every two to three hours.,"15–16 hours a day, still spread right across the clock.",The one-month check-up usually lands about now. Bring the log with you.
28,41,Weeks 5–6,The first real social smile.,A responsive smile usually appears at six to eight weeks — the first two-way conversation.,The six-week growth spurt is the biggest of the early months.,The longest night stretch often reaches four or five hours.,Crying peaks around six weeks and eases from there. Never shake a baby — put {them} down somewhere safe and step away if you need to.
42,55,Weeks 7–8,"Cooing starts, and so does the two-month visit.",Vowel sounds and much stronger head control on the tummy.,Bottles are typically 4–5 oz six to eight times a day; nursing every two to three hours.,A clearer day-night pattern begins to form.,Two-month check-up and the first large round of immunisations.
56,69,Weeks 9–10,Hands are discovered.,"{name} finds {their} hands, swipes at toys and holds {their} head steady when upright.",Feeds are quicker and more efficient — a short feed is not always a small meal.,Night stretches of five or six hours are common but far from universal.,"Drooling and chewing on fists is exploring, not usually teething this early."
