week,trimester,size,development,heads_up,facts
4,First,Poppy seed (~2 mm),"The neural tube — the start of the brain and spinal cord — closes, and the placenta begins to form.",A home test usually turns positive now. Folic acid matters most in exactly these weeks.,"400 mcg of folic acid a day is what closes the neural tube, and it matters most in the weeks before most people know they are pregnant. | A home test is most reliable from the first missed day; an early negative is worth repeating in a few days."
5,First,Sesame seed (~3 mm),"The heart tube starts to beat, and the buds that become arms and legs appear.",Book a first prenatal visit — most practices see you around week 8.,"Call to book the first prenatal visit — most practices see you between 8 and 10 weeks. | Nausea often starts now. Small, dry, frequent snacks work better than trying to eat a meal."
6,First,Lentil (~5 mm),"Facial features, eyes and the inner ear begin to take shape.",Nausea and fatigue often start here and are usually worst between weeks 6 and 12.,An early scan can usually find a heartbeat from about now. | Caffeine under 200 mg a day — roughly one 12 oz coffee — is the usual guidance.
7,First,Blueberry (~1 cm),Brain cells multiply quickly and the hands and feet emerge as paddles.,"Sickness can come at any hour — small, frequent snacks tend to help more than big meals.","No amount of alcohol has been shown to be safe in pregnancy, so the advice is none. | Keep the prenatal vitamin going on the sick days too; iron and iodine are the parts that matter most."
8,First,Raspberry (~1.6 cm),Fingers and toes separate and every major organ is under construction.,"First prenatal appointment: bloodwork, a dating scan and a confirmed due date.","First visit is usually around now: bloods, blood type and Rh, and a dating scan. | A flu shot is recommended in any trimester and passes antibodies to the baby."
9,First,Grape (~2.3 cm),"Joints bend, and the heartbeat can often be heard on ultrasound.",Ask about prenatal screening options — many are offered from week 10.,Nausea usually peaks this week and eases through the end of the first trimester. | NIPT (cell-free DNA screening) can be drawn from 10 weeks — ask now if you want it.
10,First,Kumquat (~3 cm),Officially a fetus now — the vital organs are formed and starting to work.,Cell-free DNA screening is available from about now and can also report sex.,"Gums bleed more easily in pregnancy. Dental cleaning is safe and worth booking. | NIPT reports chromosomal risk, and fetal sex as a by-product."
11,First,Fig (~4 cm),"Fingernails appear and the fetus moves constantly, though you cannot feel it yet.",Energy may still be low. It is a demanding trimester even when nothing shows.,"The nuchal translucency scan runs between 11 and 14 weeks. | Once a heartbeat is seen at this stage, the chance of miscarriage falls sharply."
12,First,Lime (~5.4 cm),Reflexes develop and the fetus can open and close its hands.,The nuchal translucency scan window is weeks 11–14. Miscarriage risk drops sharply after this point.,"Energy usually starts coming back over the next few weeks. | This is where most people share the news, for the reason above."
13,Second,Pea pod (~7.4 cm),Vocal cords form and the fetus begins practising breathing motions with amniotic fluid.,Second trimester begins — nausea often eases and appetite returns.,Second trimester — for most people the steadiest stretch of the three. | Start sleeping on your side from now. Left is often suggested; either side is fine.
14,Second,Lemon (~8.7 cm),"Facial muscles work: squinting, frowning, grimacing. Fine lanugo hair covers the body.",A good stretch for travel if you want any.,"A sharp pull low in the abdomen when you move is round ligament pain, and it is harmless. | 150 minutes of moderate activity a week is the standard target unless your provider has said otherwise."
15,Second,Apple (~10 cm),Bones harden and the fetus can sense light through closed eyelids.,You may start to show. Side-sleeping gets more comfortable than lying on your back.,"Quad screen bloods run 15–22 weeks where they are offered. | Amniocentesis, where it is indicated, is done from 15 weeks."
16,Second,Avocado (~11.6 cm),The head is upright and the heart pumps around 25 quarts of blood a day.,Second-trimester bloodwork is usually offered between 15 and 20 weeks.,"First movements arrive between 16 and 22 weeks — later if the placenta is at the front. | Blood volume is up by nearly half by now, so standing up fast will make you dizzy."
17,Second,Turnip (~13 cm),Fat stores begin forming and the umbilical cord thickens.,Round-ligament twinges are common as the uterus grows.,Book the anatomy scan if you have not: it runs 18–22 weeks. | Heartburn starts for many. Smaller meals and staying upright afterwards do more than anything else.
18,Second,Bell pepper (~14.2 cm),Hearing sharpens — voices and heartbeats register. Myelin starts coating the nerves.,Talk and read out loud. Familiar voices are recognisable at birth.,"The anatomy scan checks organs, growth and where the placenta is sitting. Allow 45 minutes or more. | Hearing is working — newborns show a preference for voices they heard before birth."
19,Second,Heirloom tomato (~15.3 cm),"Vernix, a waxy coating, forms to protect the skin against the amniotic fluid.",The anatomy scan is usually 18–22 weeks and sex is often visible there.,Night leg cramps are common now; stretching the calf before bed helps. | Ask about a glucose test date — it runs 24–28 weeks.
20,Second,Banana (~25 cm),Halfway. The fetus swallows regularly and starts producing meconium.,Measurements switch from crown-to-rump to head-to-heel this week — that is why the length jumps.,"Halfway. Fundal height in centimetres roughly tracks the week from about now. | If you are having a baby shower or leave conversation, this is the comfortable window for it."
21,Second,Carrot (~26.7 cm),Movements become the coordinated kicks you can start to feel.,First flutters usually land somewhere between weeks 18 and 22.,The baby swallows amniotic fluid and tastes what you eat; that exposure shapes later food acceptance. | Movements are still irregular — patterns come later.
22,Second,Spaghetti squash (~27.8 cm),"Lips, eyelids and eyebrows are distinct, and the sense of touch develops.",Glucose screening is usually scheduled for weeks 24–28.,Vernix and fine lanugo hair cover the skin. | Start a hospital bag list now; packing it can wait until about 33 weeks.
23,Second,Large mango (~28.9 cm),Blood vessels in the lungs develop in preparation for breathing air.,Around the viability threshold — outcomes improve week by week from here with neonatal care.,"Survival rates climb steeply across these few weeks with neonatal care. | Know the signs of preterm labour: regular tightening, low backache, pressure, any fluid or bleeding. Call, do not wait."
24,Second,Ear of corn (~30 cm),"Lungs start making surfactant, the substance that keeps the air sacs open.",Glucose tolerance window opens. Worth asking what preterm labor feels like.,"The glucose tolerance test runs 24–28 weeks. | If you have preterm risk factors, ask whether cervical length monitoring applies to you."
25,Second,Rutabaga (~34.6 cm),Fat fills out the skin and hair takes on colour and texture.,Baby responds to your voice — you may feel a kick when you talk.,Swollen feet at the end of the day are ordinary. Sudden swelling of the face and hands with a headache is not — call the same day. | Third-trimester iron needs climb; anaemia screening is usually repeated around now.
26,Second,Scallion (~35.6 cm),Eyes open for the first time and the startle reflex appears.,Consider a hospital tour and a childbirth class if you want them.,"The baby now responds to sound with movement, and sleep cycles have begun. | Heartburn and breathlessness build from here. Extra pillows, smaller meals."
27,Second,Cauliflower (~36.6 cm),"Regular sleep and wake cycles begin, with recognisable breathing motions.",Last week of the second trimester. Movement patterns start to be worth noticing.,Tdap is recommended in every pregnancy between 27 and 36 weeks — the antibodies cross over and protect against whooping cough in the months before the baby can be vaccinated. | Visits usually move to every two weeks around now.
28,Third,Eggplant (~37.6 cm),The brain surface folds and grooves and blinking begins.,Visits usually move to every two weeks. Rh-negative parents get an injection around now.,Start counting movements daily: ten movements inside two hours is the usual reassurance. Any change from the baby's own pattern is a same-day call. | Anti-D is given about now if you are Rh negative.
29,Third,Butternut squash (~38.6 cm),Bones are fully formed but still soft while muscles and lungs keep maturing.,Daily movement counts are a simple way to notice change — call about any decrease.,Colostrum may start leaking. It means nothing about later supply either way. | Book the car seat fitting — many fire stations and hospitals check them free.
30,Third,Cabbage (~39.9 cm),Bone marrow takes over red blood cell production and lanugo starts to shed.,Heartburn and shortness of breath are common as space runs short.,Braxton Hicks tightenings get more noticeable. Regular and painful is not Braxton Hicks — call. | Ten weeks out is a good point to sort parental leave paperwork.
31,Third,Coconut (~41.1 cm),All five senses work and the fetus can turn its head toward light.,Braxton Hicks tightenings are normal. Regular painful ones are not — call.,The baby is putting on roughly half a pound a week from here. | Practise the route to the hospital at the time of day you would actually be travelling.
32,Third,Jicama (~42.4 cm),Practice breathing is near constant and toenails and real hair are in.,Most babies settle head-down around now. A breech position often still turns.,"Most babies turn head-down between 32 and 36 weeks. | Pack the bag this month: ID, notes, phone charger, going-home clothes for both of you."
33,Third,Pineapple (~43.7 cm),The immune system takes on antibodies passed across the placenta.,Pack a hospital bag this month — birth from 34 weeks is not unusual.,Write down the birth preferences you genuinely care about — one page is plenty. | Sleep is broken from here; nap when you can rather than saving it up.
